Text,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:17.1,"urn:cite:hmt:vaimg.VA223VN_0725.v1@0.83,0.2502,0.072,0.024",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAint.hmt:17.2,"urn:cite:hmt:vaimg.VA223VN_0725.v1@0.864,0.3606,0.047,0.0609",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAint.hmt:17.3,"urn:cite:hmt:vaimg.VA223VN_0725.v1@0.867,0.5657,0.047,0.0406",urn:cite:hmt:msA.223v
urn:cts:greekLit:tlg5026.msAint.hmt:17.4,"urn:cite:hmt:vaimg.VA224RN_0395.v1@0.1117,0.3071,0.0643,0.03",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAint.hmt:17.5,"urn:cite:hmt:vaimg.VA224RN_0395.v1@0.112,0.402,0.079,0.0195",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAint.hmt:17.6,"urn:cite:hmt:vaimg.VA224RN_0395.v1@0.11,0.4207,0.075,0.0473",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAint.hmt:17.7,"urn:cite:hmt:vaimg.VA224RN_0395.v1@0.1153,0.4662,0.0669,0.0201",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAint.hmt:17.8,"urn:cite:hmt:vaimg.VA224RN_0395.v1@0.116,0.559,0.071,0.0301",urn:cite:hmt:msA.224r
urn:cts:greekLit:tlg5026.msAint.hmt:17.9,"urn:cite:hmt:vaimg.VA224VN_0726.v1@0.866,0.4966,0.059,0.0488",urn:cite:hmt:msA.224v
urn:cts:greekLit:tlg5026.msAint.hmt:17.10,"urn:cite:hmt:vaimg.VA225RN_0396.v1@0.109,0.3929,0.086,0.0278",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAint.hmt:17.11,"urn:cite:hmt:vaimg.VA225RN_0396.v1@0.11,0.4252,0.074,0.0586",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAint.hmt:17.12,"urn:cite:hmt:vaimg.VA225RN_0396.v1@0.113,0.4853,0.081,0.0413",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAint.hmt:17.13,"urn:cite:hmt:vaimg.VA225RN_0396.v1@0.115,0.5312,0.074,0.0308",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAint.hmt:17.14,"urn:cite:hmt:vaimg.VA225RN_0396.v1@0.115,0.568,0.077,0.0436",urn:cite:hmt:msA.225r
urn:cts:greekLit:tlg5026.msAint.hmt:17.15,"urn:cite:hmt:vaimg.VA225VN_0727.v1@0.873,0.3892,0.055,0.0624",urn:cite:hmt:msA.225v
urn:cts:greekLit:tlg5026.msAint.hmt:17.16,"urn:cite:hmt:vaimg.VA226RN_0397.v1@0.108,0.3704,0.069,0.0466",urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg5026.msAint.hmt:17.17,"urn:cite:hmt:vaimg.VA226RN_0397.v1@0.105,0.4545,0.049,0.027",urn:cite:hmt:msA.226r
urn:cts:greekLit:tlg5026.msAint.hmt:17.18,"urn:cite:hmt:vaimg.VA226VN_0728.v1@0.857,0.2524,0.074,0.0353",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAint.hmt:17.19,"urn:cite:hmt:vaimg.VA226VN_0728.v1@0.871,0.4072,0.055,0.0466",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAint.hmt:17.20,"urn:cite:hmt:vaimg.VA226VN_0728.v1@0.882,0.5853,0.044,0.024",urn:cite:hmt:msA.226v
urn:cts:greekLit:tlg5026.msAint.hmt:17.21,"urn:cite:hmt:vaimg.VA227RN_0398.v1@0.1,0.2359,0.074,0.0338",urn:cite:hmt:msA.227r
urn:cts:greekLit:tlg5026.msAint.hmt:17.22,"urn:cite:hmt:vaimg.VA227RN_0398.v1@0.12,0.4628,0.059,0.0331",urn:cite:hmt:msA.227r
urn:cts:greekLit:tlg5026.msAint.hmt:17.23,"urn:cite:hmt:vaimg.VA227RN_0398.v1@0.113,0.5222,0.065,0.021",urn:cite:hmt:msA.227r
urn:cts:greekLit:tlg5026.msAint.hmt:17.24,"urn:cite:hmt:vaimg.VA227VN_0729.v1@0.873,0.3854,0.053,0.0218",urn:cite:hmt:msA.227v
urn:cts:greekLit:tlg5026.msAint.hmt:17.25,"urn:cite:hmt:vaimg.VA227VN_0729.v1@0.867,0.4576,0.069,0.0443",urn:cite:hmt:msA.227v
urn:cts:greekLit:tlg5026.msAint.hmt:17.26,"urn:cite:hmt:vaimg.VA227VN_0729.v1@0.888,0.5319,0.048,0.0541",urn:cite:hmt:msA.227v
urn:cts:greekLit:tlg5026.msAint.hmt:17.27,"urn:cite:hmt:vaimg.VA228RN_0399.v1@0.105,0.5056,0.072,0.0488",urn:cite:hmt:msA.228r
urn:cts:greekLit:tlg5026.msAint.hmt:17.28,"urn:cite:hmt:vaimg.VA228VN_0730.v1@0.876,0.2547,0.053,0.0301",urn:cite:hmt:msA.228v
urn:cts:greekLit:tlg5026.msAint.hmt:17.29,"urn:cite:hmt:vaimg.VA235VN_0737.v1@0.845,0.3516,0.099,0.0451",urn:cite:hmt:msA.235r
urn:cts:greekLit:tlg5026.msAint.hmt:17.30,"urn:cite:hmt:vaimg.VA235VN_0737.v1@0.875,0.3118,0.055,0.0293",urn:cite:hmt:msA.235v
urn:cts:greekLit:tlg5026.msAint.hmt:17.31,"urn:cite:hmt:vaimg.VA235VN_0737.v1@0.842,0.3524,0.101,0.0443",urn:cite:hmt:msA.235v
urn:cts:greekLit:tlg5026.msAint.hmt:17.32,"urn:cite:hmt:vaimg.VA236RN_0407.v1@0.125,0.2517,0.067,0.0533",urn:cite:hmt:msA.236r
urn:cts:greekLit:tlg5026.msAint.hmt:17.33,"urn:cite:hmt:vaimg.VA236RN_0407.v1@0.11,0.4756,0.072,0.0323",urn:cite:hmt:msA.236r
urn:cts:greekLit:tlg5026.msAint.hmt:17.34,"urn:cite:hmt:vaimg.VA236VN_0738.v1@0.861,0.2735,0.082,0.0248",urn:cite:hmt:msA.236v
urn:cts:greekLit:tlg5026.msAint.hmt:17.35,"urn:cite:hmt:vaimg.VA236VN_0738.v1@0.884,0.2938,0.053,0.0436",urn:cite:hmt:msA.236v
urn:cts:greekLit:tlg5026.msAint.hmt:17.36,"urn:cite:hmt:vaimg.VA236VN_0738.v1@0.852,0.411,0.074,0.021",urn:cite:hmt:msA.236v
